Year,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12
2015,72,74,76,75,77,73,71,70,68,69,67,66
2016,74,76,77,76,78,74,72,71,69,70,68,67
2017,75,77,78,37,79,75,73,72,70,71,69,68
2018,76,78,79,78,80,86,74,73,71,72,70,69
2019,77,79,80,59,81,77,75,74,72,73,71,70
2020,76,78,79,78,80,76,74,73,71,72,70,69
2021,78,80,91,80,82,78,76,75,73,74,72,71
2022,79,81,82,81,83,79,77,76,74,85,73,72
2023,80,82,83,82,84,80,78,77,75,66,74,73
2024,81,83,84,53,55,81,79,78,76,77,75,74
2025,82,84,85,44,86,82,90,79,77,78,76,75
